name,address_street,city,state,zip,country,phone,website,google_maps_url,category_primary,category_secondary,google_rating,google_reviews_count,hours,review_keywords,hour
3G Asian Mini Mart - Filipino Oriental,6350 W Ramsey St Ste K,Banning,CA,92220,US,(951) 381-1022,,https://www.google.com/maps/place/3G+Asian+Mini+Mart+-+Filipino+Oriental/data=!4m7!3m6!1s0x80db436f78fe5c87:0xc2a1807a5960dab!8m2!3d33.9285868!4d-116.9460833!16s%2Fg%2F11l27vqrr8!19sChIJh1z-eG9D24ARqw2WpQcYKgw?authuser=0&hl=en&rclk=1,Supermarket & Grocery,,4.9,11,10 AM-8 PM,"snacks, fresh produce",
ADOruBOwl,1044 Shary Cir,Concord,CA,94518,US,(925) 381-1470,https://www.adorubowl.com/,https://www.google.com/maps/place/ADOruBOwl/data=!4m7!3m6!1s0x808561ce70bb3243:0x697f6a305f5c9d5!8m2!3d37.953658!4d-122.0319158!16s%2Fg%2F11lp7yw1hg!19sChIJQzK7cM5hhYAR1cn1BaP2lwY?authuser=0&hl=en&rclk=1,Restaurant,,0,0,9:30 AM-4:30 PM,,
American Ranch & Seafood Market,19105 Pioneer Blvd,Artesia,CA,90701,US,(562) 924-7000,http://americanranchmarket.com/,https://www.google.com/maps/place/American+Ranch+%26+Seafood+Market/data=!4m7!3m6!1s0x80dd2da6a5e71595:0xf3dced68ef7b6fe7!8m2!3d33.85702!4d-118.0825637!16s%2Fg%2F1tftlj5h!19sChIJlRXnpaYt3YAR529772jt3PM?authuser=0&hl=en&rclk=1,Supermarket & Grocery,Quick Bites & Turo-Turo,4.1,515,9 AM-7 PM,"filipino food, groceries, fresh, servers, fast food, cashier, to go, pork, breakfast, clean",
Arko Foods International,1425 E Colorado St,Glendale,CA,91205,US,(818) 242-5921,,https://www.google.com/maps/place/Arko+Foods+International/data=!4m7!3m6!1s0x80c2c10d90806e33:0xb5821ec1ef30a52d!8m2!3d34.143!4d-118.2329!16s%2Fg%2F1tfydvgt!19sChIJM26AkA3BwoARLaUw78EegrU?authuser=0&hl=en&rclk=1,Supermarket & Grocery,Quick Bites & Turo-Turo,4.2,528,8:30 AM-8 PM,"filipino food, to go, fish, fresh, kare kare, sisig, home, wash your hands, fast food, parties",
Asian Pride,15885 Main St #210,Hesperia,CA,92345,US,(760) 949-8789,,https://www.google.com/maps/place/Asian+Pride/data=!4m7!3m6!1s0x80c36782298e6dab:0xedb86c75e1f7fcbd!8m2!3d34.4230374!4d-117.3171835!16s%2Fg%2F1tj73wjf!19sChIJq22OKYJnw4ARvfz34XVsuO0?authuser=0&hl=en&rclk=1,Supermarket & Grocery,,4.3,114,10 AM-6 PM,"prices, noodles, filipino food, spicy, asian food, ube, asian market",
Auntie Dees' Pan de Manila,3756 W Ave 40 #1G,Los Angeles,CA,90065,US,(323) 478-9284,http://auntiedees.com/,https://www.google.com/maps/place/Auntie+Dees%27+Pan+de+Manila/data=!4m7!3m6!1s0x80c2c149c1ad1e65:0x3a0b8931623756a4!8m2!3d34.1197127!4d-118.227394!16s%2Fg%2F1tg81qx1!19sChIJZR6twUnBwoARpFY3YjGJCzo?authuser=0&hl=en&rclk=1,"Bakery, Dessert & Cafe",,4.1,82,7 AM-6 PM,"pandesal, ube, lumpia, ensaymada, pancit, filipino, egg rolls, empanadas, siopao, breakfast",
Aurelia's Restaurant & Catering Services,4463 Beverly Blvd Suite B,Los Angeles,CA,90004,US,(323) 620-3306,https://www.facebook.com/aurelia54beverly/,https://www.google.com/maps/place/Aurelia%27s+Restaurant+%26+Catering+Services/data=!4m7!3m6!1s0x80c2b9601aba7a47:0x867e801fc630186a!8m2!3d34.0764952!4d-118.3059133!16s%2Fg%2F11jv4p6px4!19sChIJR3q6GmC5woARahgwxh-AfoY?authuser=0&hl=en&rclk=1,Quick Bites & Turo-Turo,Restaurant,4.3,3,7 AM-12 PM,,
Bahay Natin Food Mart,9903 Venice Blvd.,Los Angeles,CA,90034,US,(213) 493-4587,,https://www.google.com/maps/place/Bahay+Natin+Food+Mart/data=!4m7!3m6!1s0x80c2ba2eada40bcb:0x5e74145c7f70b607!8m2!3d34.023508!4d-118.3991949!16s%2Fg%2F1v6l7rq9!19sChIJywukrS66woARB7Zwf1wUdF4?authuser=0&hl=en&rclk=1,Supermarket & Grocery,Quick Bites & Turo-Turo,4.3,81,10 AM-6:30 PM,"filipino, lumpia, snacks, ube, selection, turon, tocino, halo halo, prices",
Bakers & Baristas,11700 South St,Artesia,CA,90701,US,(562) 865-6903,http://www.bakersandbaristas.net/,https://www.google.com/maps/place/Bakers+%26+Baristas/data=!4m7!3m6!1s0x80dd2da1414de345:0xc95186492c8cfdba!8m2!3d33.8572439!4d-118.0844076!16s%2Fg%2F11b8_nkbfj!19sChIJReNNQaEt3YARuv2MLEmGUck?authuser=0&hl=en&rclk=1,"Bakery, Dessert & Cafe",Restaurant,4.4,792,8 AM-4 PM,"pastries, brunch, avocado toast, chicken and waffles, cereal, macarons, breakfast bowl, fruity pebbles, tapsilog, chilaquiles",
Bella's Bakery,155 Lathrop Rd,Lathrop,CA,95330,US,(209) 858-9192,https://www.facebook.com/bellasbakery209/,https://www.google.com/maps/place/Bella%27s+Bakery/data=!4m7!3m6!1s0x809015151769b61b:0x9f219817986aad65!8m2!3d37.8269088!4d-121.2872462!16s%2Fg%2F1v6l7q_t!19sChIJG7ZpFxUVkIARZa1qmBeYIZ8?authuser=0&hl=en&rclk=1,"Bakery, Dessert & Cafe",,4.6,156,5 AM-6 PM,"pandesal, rolls, spanish bread, baked, morning, muffins, puto, filipino food, ube cheesecake, ensaymada",
